date,industry,pct_chg,amount,breadth
2026-07-24,房屋建设Ⅱ,-1.93,2034214694.0,14.285714285714285
2026-07-24,房屋建设Ⅲ,-1.93,2034214694.0,14.285714285714285
2026-07-24,摩托车,1.11,1926295146.0,44.44444444444444
2026-07-24,摩托车及其他,-0.35,2442752434.0,26.31578947368421
2026-07-27,教育,3.54,878832085.0,100.0
2026-07-24,教育出版,-1.09,649228770.0,22.22222222222222
2026-07-27,教育运营及其他,2.77,61975432.0,100.0
2026-07-27,数字媒体,2.72,2681783193.0,100.0
2026-07-24,数字芯片设计,-0.95,134856154658.0,32.69230769230769
2026-07-27,文字媒体,5.24,638829651.0,100.0
2026-07-27,旅游综合,2.71,421352689.0,100.0
2026-07-24,有机硅,-1.88,1772629667.0,10.0
2026-07-27,有机硅,3.0,970252849.0,100.0
2026-07-24,服装家纺,-1.72,4413325078.0,18.0327868852459
2026-07-27,服装家纺,2.73,2967286586.0,96.61016949152543
2026-07-24,机场,-1.79,637869420.0,0.0
2026-07-27,林业Ⅱ,2.89,686080144.0,100.0
2026-07-27,林业Ⅲ,2.89,686080144.0,100.0
2026-07-24,果蔬加工,0.15,671796478.0,40.0
2026-07-27,果蔬加工,2.81,466836369.0,100.0
2026-07-24,棉纺,0.14,1574811417.0,33.33333333333333
2026-07-24,模拟芯片设计,-0.09,14777578065.0,41.17647058823529
2026-07-24,橡胶助剂,-1.78,1051876998.0,0.0
2026-07-24,氟化工,-1.51,12623015410.0,20.0
2026-07-27,氨纶,2.82,198102011.0,100.0
2026-07-27,水泥制品,2.89,174161432.0,100.0
2026-07-24,汽车服务,-1.7,557660214.0,11.11111111111111
2026-07-24,汽车综合服务,-0.29,439601483.0,33.33333333333333
2026-07-27,汽车综合服务,3.14,208110303.0,100.0
2026-07-27,洗护用品,3.48,104881407.0,100.0
2026-07-24,涂料,-1.79,247775228.0,50.0
2026-07-27,涂料,6.42,112490443.0,100.0
2026-07-27,涂料油墨,2.82,1504641891.0,94.11764705882352
2026-07-27,涤纶,2.95,374619344.0,100.0
2026-07-27,清洁小家电,2.98,673357383.0,100.0
2026-07-24,港口,-1.08,1948666067.0,11.76470588235294
2026-07-27,游戏Ⅱ,2.8,4219321368.0,100.0
2026-07-27,游戏Ⅲ,2.8,4219321368.0,100.0
2026-07-27,火电设备,3.01,504156020.0,100.0
2026-07-27,燃料电池,3.79,25271049.0,100.0
2026-07-24,物业管理,-1.93,424375017.0,10.0
2026-07-27,玻璃玻纤,3.42,13959066553.0,88.23529411764706
2026-07-27,玻纤制造,5.18,13521027329.0,100.0
2026-07-24,瓷砖地板,-1.5,877549785.0,16.666666666666664
2026-07-27,瓷砖地板,3.32,569215510.0,83.33333333333334
2026-07-27,生活用纸,2.91,487242446.0,88.88888888888889
2026-07-27,生物制品,2.83,7040588569.0,98.27586206896551
2026-07-24,电信运营商,0.75,2388258881.0,100.0
2026-07-27,电力设备,2.85,88828202005.0,95.35452322738386
2026-07-24,电商服务,-1.82,1274317080.0,12.5
2026-07-24,电子,-1.34,575995424335.0,24.11764705882353
2026-07-24,电子化学品Ⅱ,-1.17,32442346404.0,35.13513513513514
2026-07-27,电子化学品Ⅱ,2.96,19387023651.0,91.8918918918919
2026-07-24,电子化学品Ⅲ,-1.17,32442346404.0,35.13513513513514
2026-07-27,电子化学品Ⅲ,2.96,19387023651.0,91.8918918918919
2026-07-27,电机Ⅱ,2.82,2060360129.0,100.0
2026-07-27,电机Ⅲ,2.82,2060360129.0,100.0
2026-07-27,电池,4.12,42921582240.0,98.11320754716981
2026-07-27,电池化学品,3.85,15560291350.0,100.0
2026-07-24,白色家电,-0.5,5761717011.0,18.181818181818183
2026-07-24,空调,-1.62,4342296547.0,0.0
2026-07-27,端到端供应链服务,2.97,212236977.0,100.0
2026-07-24,管材,-1.8,390278376.0,14.285714285714285
2026-07-24,粮食种植,-1.22,361766990.0,0.0
2026-07-24,纸包装,-1.61,1407833150.0,14.285714285714285
2026-07-24,纺织制造,-1.49,3705903635.0,24.24242424242424
2026-07-27,纺织化学制品,3.19,1197712697.0,92.3076923076923
2026-07-24,纺织服装设备,-1.71,994352104.0,8.333333333333332
2026-07-24,纺织服饰,-1.8,9320828468.0,18.91891891891892
2026-07-24,纺织鞋类制造,-0.99,82002046.0,0.0
2026-07-27,纺织鞋类制造,4.39,76199179.0,100.0
2026-07-27,线下药店,2.71,669875660.0,100.0
2026-07-24,综合乘用车,-1.9,1342859712.0,0.0
2026-07-24,综合包装,-0.95,198984381.0,16.666666666666664
2026-07-27,美容护理,4.11,3295926932.0,96.7741935483871
2026-07-24,股份制银行Ⅲ,0.1,10226020367.0,55.55555555555556
2026-07-27,能源金属,2.7,6599940863.0,100.0
2026-07-27,膜材料,3.0,4261692911.0,100.0
2026-07-24,航海装备Ⅱ,-0.13,6533351462.0,33.33333333333333
2026-07-24,航海装备Ⅲ,-0.13,6533351462.0,33.33333333333333
2026-07-24,航空装备Ⅱ,-1.25,13134026443.0,17.02127659574468
2026-07-24,航空装备Ⅲ,-1.25,13134026443.0,17.02127659574468
2026-07-24,航运,-1.75,7318819995.0,20.0
2026-07-24,航运港口,-1.44,9267486062.0,16.216216216216218
2026-07-27,营销代理,4.17,4969230027.0,100.0
2026-07-27,蓄电池及其他电池,4.13,780090337.0,100.0
2026-07-27,被动元件,3.11,11688966016.0,94.73684210526316
2026-07-24,装修装饰Ⅱ,-1.43,2458954670.0,15.0
2026-07-24,装修装饰Ⅲ,-1.43,2458954670.0,15.0
2026-07-27,视频媒体,3.7,145985589.0,100.0
2026-07-27,诊断服务,3.21,542110467.0,100.0
2026-07-27,超市,2.78,901237316.0,100.0
2026-07-24,跨境物流,-1.84,676787100.0,21.428571428571427
2026-07-27,跨境电商,2.81,879856755.0,85.71428571428571
2026-07-24,软饮料,-1.86,1384505838.0,12.5
2026-07-24,辅料,-1.25,839911461.0,50.0
2026-07-24,输变电设备,-1.51,22628319029.0,22.58064516129032
2026-07-27,运动服装,2.82,450642863.0,100.0
2026-07-24,造纸,-1.93,2065217006.0,16.0
2026-07-27,酒店,4.29,704513272.0,100.0
2026-07-27,酒店餐饮,3.61,776643238.0,100.0
2026-07-24,金属包装,0.43,835954740.0,28.57142857142857
2026-07-27,钟表珠宝,2.89,751367567.0,100.0
2026-07-24,铁路公路,-1.76,3358169957.0,5.555555555555555
2026-07-24,铁路运输,-1.85,1618678128.0,0.0
2026-07-24,银行,-0.24,27541024631.0,35.714285714285715
2026-07-24,银行Ⅱ,-0.24,27541024631.0,35.714285714285715
2026-07-27,锂,2.7,5950597803.0,100.0
2026-07-27,锂电专用设备,3.57,2509686480.0,94.44444444444444
2026-07-27,锂电池,4.79,24046243022.0,96.96969696969697
2026-07-27,院线,3.34,873730860.0,100.0
2026-07-24,集成电路制造,-1.38,20232758295.0,12.5
2026-07-24,集成电路封测,1.87,51847072376.0,53.84615384615385
2026-07-24,非运动服装,-1.19,2235036032.0,23.07692307692308
2026-07-27,非运动服装,2.82,1578641858.0,97.36842105263158
2026-07-27,鞋帽及其他,2.71,742690674.0,90.0
2026-07-27,风电设备,3.04,4311353360.0,100.0
2026-07-27,风电零部件,3.15,3074040010.0,100.0
2026-07-27,食用菌,3.48,195987834.0,100.0
2026-07-27,饰品,2.73,768985023.0,100.0
2026-07-24,高速公路,-1.38,1219135090.0,9.523809523809524
